2023/07/28 08:33:20.373  3780  3656 G1!! SetForegroundWindowForce: AttachThreadInput(FALSE) failed: 5, Errorcode=5
2023/07/28 08:33:20.373  3780  3656 G1   P_FORCE_WINSTATE_ONCE = WinState_Maximized
2023/07/28 08:33:20.408  3780  3296 G1   CTVUpdate::StartVersionFileDownloadWithCallback(): Start download of version file...
2023/07/28 08:33:20.408  3780  3204 G1   ChangeThreadDesktop(): SetThreadDesktop to default successful
2023/07/28 08:33:20.444  3780  3656 G1   PredefinedSessionPassword (reset) ForceId(1) CurrentId(1) ConsoleId(1)
2023/07/28 08:33:20.444  3780  3656 G1   API: The API is not registered with Windows.
2023/07/28 08:33:20.479  3080  3684 S0   NetWatchdog: Ping successful!
2023/07/28 08:33:20.552  3080  3684 S0   CT3 CT.Send.CMD_MASTERCOMMAND From=0 To=0 L=403
2023/07/28 08:33:20.588  3080  3684 S0   CT3 Activating support for ccmdV2
2023/07/28 08:33:20.588  3080  3684 S0   CT3 CT.Receive.CMD_MASTERRESPONSE From=0 To=0 L=9
2023/07/28 08:33:20.588  3080  3684 S0   CT3 CT.Disconnect
2023/07/28 08:33:20.588  3080  3684 S0!  MC.Reg f=Reg&ic=345367517&id=0&iguid={925df185-67fe-4212-85bc-a938f209964a}&logging=1&mac=0x08002795a434_1d112dc31bae0f4_116666679&mid=0x08002795a434_1d112dc31bae0f4_116666679&midf=1&midhistory=0x08002795a434_1d112dc31bae0f4_116666679|u2fcb8a98c31e4a93a5bf21df8075012d08002795a434c28cb9d244297dda27dbef8549ea0f8d&midv=0&os=Win_6.2.9200_W&rhash={8cce4a00-5ca3-45d4-3a1e-26aeb8c74eff}&smidv=1&sro=0&v=7.0.43148 H - 0#BLOCKED
2023/07/28 08:33:20.588  3080  3684 S0   Generating new RSA private/public key pair
2023/07/28 08:33:20.679  3080  3684 S0   CInterProcessNetwork::SetDyngateIDforSession() id=4294967295 session=1 ptype=2
2023/07/28 08:33:20.679  3780  3656 G1   CMainWindow::ShouldShowDynamicPassword(): dynPw=0 allowIncoming=1 id=-1 ka=0 lanAllowed=0 lanOnly=0 networkState=1
